04.04.2018;33;46;13;30;28;23;;;;;;;;;;;;;;;;;;;;;;;
07.04.2018;12;27;47;19;34;15;;;;;;;;;;;;;;;;;;;;;;;
11.04.2018;44;20;25;27;48;9;;;;;;;;;;;;;;;;;;;;;;;
14.04.2018;42;4;34;33;47;9;;;;;;;;;;;;;;;;;;;;;;;
18.04.2018;35;37;7;10;2;4;;;;;;;;;;;;;;;;;;;;;;;
21.04.2018;38;29;12;19;23;15;;;;;;;;;;;;;;;;;;;;;;;
25.04.2018;17;6;11;10;25;4;;;;;;;;;;;;;;;;;;;;;;;
28.04.2018;11;48;2;33;47;9;;;;;;;;;;;;;;;;;;;;;;;
02.05.2018;42;3;5;44;19;12;;;;;;;;;;;;;;;;;;;;;;;
05.05.2018;5;34;49;1;17;31;;;;;;;;;;;;;;;;;;;;;;;
